Sentence	Predicted	Label
汗めっちゃかいた()	1	1
1人だけ春みたいなかっこしててはずい	1	1
……はあ；；；；	1	0
あぁーテスト勉強()	1	1
ハシが狂っていく様が儚げで見てて辛かったけど、なんか好き…	1	1
明るいポップな曲も可愛いから好きだけど、しゃわげとか落ち着いてるけど華やかな、大人っぽい曲でまとめたアルバムも欲しいなぁ…なんて思ったり…	1	0
しゃわげ大好き人間なんだよね…	1	1
かわ、かわぁ…！；；；；	1	0
シューズバンド買お	1	0
お腹空いた	1	1
今週にでもヒトカラ行こうかな	1	2
まぁそれが出来てんのが歌手なんだろうな…すごい	1	0
自分の好きな歌を自分なりに納得いくように歌えたら最高なのに?	1	1
なんかもう体調不良すぎるから帰りたい	1	1
30分以上遅刻してるけど一応行く	1	1
成人式なかったらバッサリ切るのに	1	1
関東のタワレコさんの優しさ…；；；；ありがたい；；；；	1	1
はよえびお迎え行きたい！	1	0
あぁ?今日は大学のアイドル君のスマイルもらえた(私に笑いかけた訳ではない)からはっぴ???	1	1
めっちゃ綺麗だった??	1	0
わたしに向けて笑われた日には即死だろうよ	1	0
え、めっちゃ見るやん…そんな音漏れしてる？	1	1
高い鼻とぱっちりな目に生まれたい人生だった	1	1
うわ、うれし…	1	2
あちーーー	1	1
関西のT/SUT/AYAにしろ新/星/堂にしろタ/ワレ/コにしろ、えびに冷たいよね()私の地元だけ？()	1	1
ガチですねぇ…()	1	1
Revolutionなんかのアニメの主題歌いけそう。好き。	1	1
映画やるのか()	1	1
東京喰種、狂った演技…というか叫ぶし、はっしーキャストに入らないかな…	1	1
主役に旬な人使うのは当たり前の事なんだろうけど、脇のひとりくらいブレイク前の人使ってもいいんじゃない…？はっしーならやってくれそうだと思うんだけど、ダメかね？	1	1
なんか、才能ある人が報われないの辛い	1	1
久々に愚痴のようなもの吐いた()すいません	1	1
あぁ?鼻水が?鬱陶しい?	1	1
可愛い；；；；	1	0
パンフレット、家にあるのと同じものを間違えて買ってしまった()	1	1
凡ミスにも程がある…	1	1
塚ちゃんがうたプリ…！！！うおおお…見たかった！	1	0
あ、やらないとな…エントリー	1	1
忘れた	1	1
前活発だった垢からのフォロワーさんから反応あるとすっごい嬉しい	1	1
あーー可愛いーーー	1	1
あぁ?眠いぞ	1	1
なんで昼間やらなかったんだろうね?いつもこうだね?	1	1
誰かと遊びたいけどテスト	1	1
昨日カラオケ行ったのにまた行きたい病	1	1
ちょ、やば、	1	2
めっっっっちゃ好みの服装じゃないですかぁ；；；；	1	1
もっとマシな事言いたいけど語彙力ない	1	1
いちごキャラメル美味しい	1	0
今無性にえびせん食べたい	1	2
明日買って帰ろ	1	1
さ、寒い()	1	1
行ってみたいRT	1	0
はっしーwww	1	2
美しすぎぃ…；；；；	1	1
眠いから愚痴ってしまった()すいません	1	1
見たかったなー音楽番組	1	1
愚痴とか文句ばっか言ってるの見てて気分がいいものじゃないのはわかってるんだけど…つい言っちゃうよね…朝になったらツイ消しするんだろうな…	1	1
こういう事言ってくれる方がいるのが本当に救いだな…	1	1
テレビ的には面白いのかもしれない(私はそう思わない)けど、貶しとか、自分を下げすぎるのは、ファンでも正直見てて気持ちの良いものではないのでやめてください(唐突)	1	1
なんだかなぁ…	1	1
私は自担だからっていう理由だけで何でも許す事はできないよ。無理なもんは無理。	1	1
いろいろ言っちゃう時あるけど根底にあるのはえびの素晴らしさ知らないの勿体ないっていう	1	1
あかん…疲れ取れてない()テスト勉強…()	1	1
ここで言うのも気が引ける事を呟く垢を作りたい	1	1
おなかすいた	1	1
ウザイよよよよよよ気持ち悪いよよよよよよよ	1	1
本当に無理	1	1
チョコミント食べたい	1	1
え、チケット発送されてる…？	1	1
ダチュラ！！！！！！	1	0
少クラの司会とかセレクションコンビとか塚濵ちゃんとか、えびとジャニストが絡むと可愛い	1	1
コイベビ楽しみ?！	1	0
今日6時だと思ってたけど、4時からやんな…危ない	1	1
スポサン快適	1	1
エヴァ???！	1	0
新劇はほぼ意味わからんけど絵は好き	1	1
今日モノトーンすぎて笑う()紫要皆無()	1	0
パフェ食べて帰りたい…()	1	0
ええ…行きたい…	1	2
帰ったらSASUKE見るぞ?！	1	2
見終わったらレポートのお供にちゃんずーかけよ	1	0
昨日は余韻に浸りながら寝落ちしてしまったから、今日は感想かけてよかった…	1	1
あ、千秋楽じゃない、大千秋楽や…凡ミス	1	1
お母さんが塚ちゃんを認識してくれて歓喜…	1	0
相変わらず河合くんは後藤さんだけど(笑）	1	0
他グルの子達が若すぎるから錯覚するけど、２０代後半とかまだまだ若い(と思う)	1	1
だーお風呂入るのダルい()	1	1
明日も学校ですか…やばい…これはキツい	1	1
シャワゲ最高…	1	0
新しいバイト先の偉い人、多分気が合わない	1	1
筋肉とか組織とかややこしい()生物無理()	1	1
可愛すぎやん…	1	0
戸塚田可愛いな…戸塚田…	1	1
やばい眠い()	1	1
コミュ力切実にほしい	1	1
まずブリってるとかでなくガチで男子の免疫がないから困ってる	1	1
はやく厄祓い行きたい	1	1
今日もグッジョブめっちゃ好きやわ…	1	0
お腹空いた	1	1
カーディガン、外出たら普通に暑苦しいけど、建物の中入ったら丁度いいから脱げん…	1	1
あああ櫻井さんの声ｲｹﾎﾞすぎるあああ	1	1
自虐に走っちゃうの可愛いよ…こういう走り方なら可愛いよすんごく…	1	1
だから夏休みは掛け持ちして稼ぎまくる	1	0
春休みスペシャルはやっぱり神…可愛いが詰まりすぎてる…	1	1
嬉しすぎか	1	0
１回生なのに発表が２回もあるってどういう事…コミュ障には辛いぜ…	1	1
あかんでド緊張やで	1	1
友達がA.B.C-Z検索してくれたみたいで、イケメンって言ってくれた…！イケメンって…！いやぁ、かっこいいとは思うけど！イケメンは新鮮！	1	1
NEWSさんのTouch好きすぎてずっとリピってる	1	1
はっしーととっつーのソロ全部好きすぎる	1	0
おやすみなさい…	1	1
明日１限からだし寝なきゃ	1	1
ストッキングのつま先破れて痛い	1	1
あー今日はバイトかー	1	1
頑張ろ	1	0
こういう感想が一番嬉しいよね…	1	0
そしてそのままハマって下さい	1	0
はっしーやべーよ	1	2
テスト勉強どのくらいしたらいいかわかってないから、下手にバイトたくさん入れれない()	1	1
あ！FNS！録画せな！！！	1	0
モノトーンコーデ大好物	1	1
FNSってセット綺麗だよなあ…	1	0
ほんとだよ…河合くんはかっこいいよ…	1	1
焼けたくないし()	1	1
よし、明日取りに行くか…	1	1
レポート今日提出なのにまだできてない寝てしまったつらい	1	1
飼ってるわんこが可愛すぎるつらい	1	1
北山さんすごい	1	1
やっぱキスマイって体かっこいいもんな…いや顔もかっこいいけど…	1	0
体格がすごく好み…	1	0
確かにこだわってるwww	1	0
朝から嬉しすぎる	1	1
あーもう本当に嬉しいなFC	1	1
最高の誕生日プレゼントだわFC発足	1	1
てかフォロワーさん優しすぎるからやばい	1	0
号泣しそう	1	0
おもろすぎかwww	1	0
初めて入るファンクラブがA.B.C-Zって本当に嬉しい………	1	1
え、やっぱ背高いとかっこいいなぁ	1	2
お腹痛い	1	1
扇風機にあたり過ぎたかもなぁ…	1	1
レポートまだ終わってないんやけどなぁ…辛いなぁ…	1	1
わーいレポート終わった(白目)	1	1
何、次は何すればいいんだっけか()	1	1
カラオケで花言葉歌われたら惚れる可能性ある	1	2
今回のアルバム、個人的に今日もグッジョブ!!!、Fantastic Ride、はっしーソロがドストライクだった…！	1	1
ショタ最高…	1	0
あかんめっちゃ楽しかった…	1	1
かわいすぎかよ…癒される…	1	0
はぁ…コンサート最高だった…今頃きたわ	1	0
あと世界一とか泣かせにかかってる…	1	0
渚の?の河合くんは最高だった…あの幸せそうな顔がね…うん	1	0
なんだろ、やっぱバラードを生で聴くとヤバイな…泣く	1	0
サークルあんの忘れてた	1	1
あちゃ???	1	1
えびのコンサートの感想、書こうと思ってたのに、行けたり、フォロワーさんに会えただけで満足して書くの忘れてた…	1	2
スケジュール帳あんまみないから誕生日を当日や当日付近にお祝いし忘れるっていう…申しわけないです	1	1
せっかく教えてもらえたのに…！	1	1
まってゼウス！？！？！？！？！？！ほんとに！？！！？！？	1	0
本当なら嬉しすぎるな！？！？！？！？！？	1	1
えびの大阪いけるいけるかわからんな…	1	1
チケット、フォロワーさん限定でお譲りやってみようかな…	1	1
(東京喰種、実写するならカネキくんは窪田くんか神木くんだと思ってたので嬉しい)	1	1
ムヒ最強説…一気に涼しくなった…寝れる	1	0
FaFはなんかラノベがアニメ化した時の主題歌みあるねって妹と話してたのよね…	1	0
CanCamにえびちゃん…！買わなきゃ(使命感)	1	0
花言葉好きすぎてずっと聞いてられる	1	0
あと「ずっと君を守るよ?」の所で毎回死ぬよね()	1	1
他の方が言ってるかもしれないけど、花言葉の2番の「祝福を」をとっつーが歌ってるのがまた良いよね…	1	0
えびがダサくない…！？！？！？(アルバムのジャケット)	1	2
ついでに言うと、衣装、今の感じも勿論すごい可愛いんだけど、落ち着いた、オシャレな男性の私服みたいな衣装も、もっと増えていいと思う。その方がジャニオタ以外にうけがいいかも…私がそうだったし。	1	0
秋ってタイツ履けるし冬よりは薄着でいいし長袖着れるし服の色合いが落ち着いてて可愛いしで最高な季節だよな…	1	1
河合くんお誕生日おめでとうございます！！！！	1	0
ペルソナ…w	1	0
どうしてもアニメがよぎるよね()	1	0
てかイベント抽選じゃないんだね…やばい	1	2
カウコン行かれる方、楽しんで下さい?！！	1	0
一生に一度はカウコン行ってみたいよね	1	1
綺麗なお顔がいっぱい	1	1
はっしーでこあげたやつめっちゃイケメンやん	1	1
河合くんのでこあげたのもすき	1	1
アイコンいい加減変えたいなー	1	1
コイベビ見たい…	1	1
公演日によって役入れ替わっちゃうのね…見たすぎ…	1	0
菩薩になりたいよ	1	1
なんで頑張ってる人が報われないんだよ…悔しい	1	1
やらない後悔よりやる後悔の方がいいし送ってきます	1	1
混乱する	1	1
オンラインカウンセリングしてもらいたいな?	1	1
そのアーティストは嫌いじゃないのにファンのせいでそのアーティストも嫌いになってしまう	1	1
自分も足痛いのに足痛めた人のかわりに出勤するってなんか面白いよね	1	1
付き合ってる人に対してブスとかブタとか言えるのが本当に仲良いって風潮嫌だな…好きな人に対してそんな汚い言葉かけるってどういう神経…？	1	1
休憩中に食べるものお菓子やめてフルーツにしたんだけど、凍ってるから味しない	1	1
美味しそうな名前のコスメだいたい可愛い	1	1
Aちゃんが紹介してるやつ何個か試したけど肌大荒れでも滲みないし、敏感肌向けの確かな情報流してくれるのありがたすぎるから大好き…他のユーチューバーとか美容垢は敏感肌もどきだから正直スキンケアは参考にならん…ハトムギ使える時点で敏感肌じゃないよね…？は…？という気持ち	1	0
四六時中考える事はなくなったけど、ふとした時に思い出してしまう	1	1
やばい女をやばいって言わん男がやばいのめちゃくちゃわかる元彼じゃん	1	1
なんで誤字るかなぁ	1	1
これ多分父親と同級生男子のせいなんだよな	1	1
元々の男嫌いが再発してしまって恋愛どころではなくなった、、、	1	1
いい人に出会えますように	1	1
優しい所だけをみて浸ってたんだなぁ	1	1
今日の今くらあまり共感できない…	1	1
最近愚痴しか呟くことなくてうんざりする	1	1
そういう人間は恋人作るのやめたらいいのに	1	1
大学の大声で馬鹿騒ぎするノリが嫌いすぎて学校行くの嫌になる	1	1
一人で美術館とか映画とかフラ?っと行ってああ綺麗だったな…面白かったな…って噛みしめたい	1	1
コロナだから普段縛られてる時間が少しなくなって自由がきいてるけど、コロナだからその空いた時間に一人でブラブラできないのがなんとも言えないなぁ	1	1
全然自粛は苦じゃないんだけどたまに出かけたくなる	1	1
誕生日いつもテスト期間でうんざりする	1	1
だからって付き合うと幸せでもない	1	1
嬉しいけど謎	1	1
凡ミスばっかしてしまって萎えてるけど切り替えなきゃ	1	1
ハーまたネットの可愛い一般人みて鬱…はやく整形したい	1	1
こういう顔めっちゃ好き…	1	0
可愛いコスメ注文したからテストがんばろ	1	2
コンサートのDVD届くの待ち遠しい	1	0
やっぱり私は誰かを推してる方が充実してるな?	1	1
ペアリングとか作らなくて良かったって今すごい思う	1	1
もう夕方だけど何食べよっかな…	1	1
推しが綺麗すぎてイケメンすぎて生きるのが毎日楽しいな	1	0
あと幸せの押し付けもやめてよ	1	1
結婚することが幸せって決めつけないで欲しいよ	1	1
この言葉一番欲しかったよ…ありがとう…	1	1
テストがんばろ	1	1
ちょっと鬱になってきても筋トレしたら忘れるの最高	1	2
わたしの鬱はその程度なんだから悩んだら筋トレを徹底しよ	1	1
明日は腹斜筋やろうかな	1	1
わたしだって気付いてない気もするけど、これでよかったんだろうなー	1	0
なんか最近勉強するのが楽しい	1	1
今月は結構使っちゃったけどまた貯めなきゃ	1	1
メイクも前より上手くなったって言われたし、あとはヘアアレンジの練習がんばろ	1	0
厳しくできなかった自分が招いた結果だから受け止めて次いくしかないね	1	1
手術よりも麻酔打つの瞬間が激痛	1	1
人前が苦手でついキョドってしまう人とかに対して影でこそこそ笑ったり陰口言ったりする系の人がすごく嫌いでその人らのノリに合わせるのしんどすぎて抜けたら今孤立してるけどめちゃくちゃ生きやすい	1	1
久々に友達と遊ぶから気合い入る?！！何色のメイクしてこ！	1	1
最近けーぽにハマっちゃって大変大変	1	1
でもやっぱり5人組の大人の魅力あふれるグループに惹かれるんだな…私の好みわかりやすいなぁ	1	0
また絵描きたくなってきた	1	0
久々にえびちゃんのCDのジャケ見たけど可愛いなぁ	1	1
香水の香りも好きだでけど瓶が可愛いよね…瓶って言い方なんか知らんけど…	1	1
結構じゃむの人がやってくれててなんだか嬉しいRT	1	2
なんかもうどうしたらいいのかわからないなぁ	1	1
自分の詰めの甘さが原因だけどなんでこんな事で悩まなきゃいけないんだろ	1	1
トパーズの新色可愛い	1	1
可愛いと思える惚気垢と気持ち悪いと思う惚気垢の違いはやっぱり夜の話を書いてるか書いてないかなんだなぁ…	1	1
東京大神宮のお札も燃やしたくなってきた	1	1
なんかえびとJO1が繋がってるの嬉しいな	1	2
クイックラッシュカーラーなめてた	1	2
めちゃくちゃメイク上手くいったのに写真撮るの下手すぎて記録残せないの辛すぎん？	1	1
大人っぽい系統になりたいけど、冬になったら可愛い系の服着たくなる	1	1
大きい犬ほんとに可愛い	1	2
新しいアイロン家用にあるけど使いにくいしサロニア買おうかな…	1	1
付録についてたミルボンのシャンプーめっちゃ良かったから買おうと思って値段調べたらそこそこ高くて泣いた	1	1
昔よりはマシになったけどまだまだ満足できないもっと可愛くなる	1	1
addictionのクレンジングオイルめちゃくちゃよかった…お金余裕できたら買ってみようかな	1	0
一人で映画でも見に行こうかな?	1	1
にゅいの垢作ったけどこっちの居心地良すぎて	1	1
わたしどうやって絵描いてたんだっけか	1	1
でもうまいこと伝えられないんだよなー…なんか父親と重なって意見できない時がある	1	1
医療従事者がツイッターよくやってるけどあれすごいよね。本人てバレそうで就職しても鍵外せないこわい	1	1
Twitter試しに消したら何個かログインできなくなった…	1	1
Qoo10ついにVIP会員になってた	1	2
心配して質問こっちからふってるのにそれ全無視されたら電話する気も無くなるんですけど…聞かれたことには答えようね大人なんだし	1	1
この子いつも人の話聞いてないんだよな。正確には自分の興味あることだけ聞いてる。私もそういうところあるから強く言えんけど私より酷いってだいぶやばいよ	1	1
マモンド のリップかわい	1	2
